ObservationID,ObservationDate,Telescope,Flux,FrequencyHz,SNR,DurationSec,DistanceLy,EventType
OBS000001,2015-01-01 00:00:00,HST,531.177,1379989486.32,14.864,0.7486,891129.92,Signal
OBS000002,2015-01-01 01:00:00,VLT,622.991,1392121962.54,9.612,0.55,1597071.95,Signal
OBS000003,2015-01-01 02:00:00,VLT,480.326,1373281653.81,9.333,0.5202,130934.28,Noise
OBS000004,2015-01-01 03:00:00,Keck,430.285,1407595043.77,5.273,0.2522,662339.55,Noise
OBS000005,2015-01-01 04:00:00,Keck,226.912,1414804461.27,9.141,0.6112,1616214.35,Signal
OBS000006,2015-01-01 05:00:00,Chandra,576.919,1389011459.6,17.887,0.5032,1915024.58,Signal
OBS000007,2015-01-01 06:00:00,HST,486.42,1391259453.85,12.455,0.8354,2142996.24,Signal
OBS000008,2015-01-01 07:00:00,VLT,378.478,1410748595.4,8.301,0.5637,1025177.77,Noise
OBS000009,2015-01-01 08:00:00,JWST,515.192,1385720098.06,18.181,0.6561,1228948.69,Signal
OBS000010,2015-01-01 09:00:00,HST,429.958,1384345321.77,9.074,0.6643,1408713.91,Signal
OBS000011,2015-01-01 10:00:00,Keck,436.589,1423929969.56,19.1,0.7856,1637537.64,Signal
OBS000012,2015-01-01 11:00:00,Chandra,572.755,1417683754.77,19.018,0.6414,1156545.97,Noise
OBS000013,2015-01-01 12:00:00,VLT,339.394,1412031000.05,12.28,0.4815,1463074.46,Noise
OBS000014,2015-01-01 13:00:00,VLT,625.678,1418512892.43,4.507,0.8257,1229886.9,Noise
OBS000015,2015-01-01 14:00:00,VLT,332.278,1360454425.49,23.448,1.1202,1261111.97,Signal
OBS000016,2015-01-01 15:00:00,VLT,420.476,1427076710.94,13.936,0.8385,540815.38,Noise
OBS000017,2015-01-01 16:00:00,Keck,730.754,1407841242.33,10.381,0.6171,835393.14,Signal
OBS000018,2015-01-01 17:00:00,HST,635.283,1420215627.68,16.781,0.7631,738615.4,Noise
OBS000019,2015-01-01 18:00:00,Chandra,511.712,1407743235.58,15.512,0.1848,405552.27,Signal
OBS000020,2015-01-01 19:00:00,Keck,387.136,1400978496.49,18.555,0.7582,174197.39,Signal
OBS000021,2015-01-01 20:00:00,Keck,436.487,1394493815.75,8.688,0.6799,788186.25,Noise
OBS000022,2015-01-01 21:00:00,JWST,508.793,1407342887.54,13.592,0.52,868058.84,Signal
OBS000023,2015-01-01 22:00:00,HST,504.503,1393765041.82,6.071,0.5744,1052518.54,Noise
OBS000024,2015-01-01 23:00:00,Chandra,489.095,1417357522.0,15.332,0.6769,1277868.92,Noise
OBS000025,2015-01-02 00:00:00,VLT,496.3,1368270867.11,11.885,1.0977,1094061.12,Signal
OBS000026,2015-01-02 01:00:00,VLT,474.275,1389168482.76,13.405,1.1276,871544.41,Signal
OBS000027,2015-01-02 02:00:00,Keck,326.963,1440896464.97,11.268,0.5216,542436.84,Noise
OBS000028,2015-01-02 03:00:00,Chandra,438.019,1387478390.73,10.745,0.6446,1438534.55,Noise
OBS000029,2015-01-02 04:00:00,Keck,609.755,1395226325.54,7.659,0.6522,949088.89,Noise
OBS000030,2015-01-02 05:00:00,Keck,335.8,1382348381.33,15.952,1.0429,783105.1,Signal
OBS000031,2015-01-02 06:00:00,Keck,477.253,1406716913.46,19.449,0.8437,906772.86,Noise
OBS000032,2015-01-02 07:00:00,JWST,401.63,1385274702.2,9.217,0.8278,633627.83,Noise
OBS000033,2015-01-02 08:00:00,HST,513.362,1396287781.3,14.768,0.9609,734663.04,Signal
OBS000034,2015-01-02 09:00:00,Keck,453.364,1416977330.72,14.161,0.6211,718770.84,Noise
OBS000035,2015-01-02 10:00:00,Chandra,677.287,1386024731.62,12.04,1.2092,856331.29,Signal
OBS000036,2015-01-02 11:00:00,HST,560.79,1415772222.39,4.367,0.7995,1327877.48,Signal
OBS000037,2015-01-02 12:00:00,Chandra,342.584,1416444586.31,5.492,0.5432,1203556.03,Noise
OBS000038,2015-01-02 13:00:00,Chandra,580.547,1421099121.89,8.095,0.7311,1773368.7,Noise
OBS000039,2015-01-02 14:00:00,JWST,407.042,1402810819.9,1.305,1.1696,1605864.55,Noise
OBS000040,2015-01-02 15:00:00,VLT,430.76,1464825181.54,19.04,0.6725,1978210.89,Noise
OBS000041,2015-01-02 16:00:00,HST,537.658,1421090673.93,13.839,1.0849,1279579.24,Signal
OBS000042,2015-01-02 17:00:00,VLT,440.99,1406497552.49,11.85,0.6124,1271552.61,Noise
OBS000043,2015-01-02 18:00:00,VLT,607.143,1382481511.72,1.049,0.5703,756292.11,Noise
OBS000044,2015-01-02 19:00:00,JWST,407.059,1398058817.48,2.881,0.9979,1413007.45,Noise
OBS000045,2015-01-02 20:00:00,HST,425.726,1428526539.54,11.988,0.5378,671941.53,Signal
OBS000046,2015-01-02 21:00:00,Chandra,421.235,1434190692.31,21.852,1.0468,264772.24,Signal
OBS000047,2015-01-02 22:00:00,Keck,432.123,1429566582.01,8.507,0.9055,1763161.7,Noise
OBS000048,2015-01-02 23:00:00,Chandra,631.903,1415703846.13,16.319,0.5379,375409.2,Noise
OBS000049,2015-01-03 00:00:00,VLT,575.456,1374886795.87,9.6,0.7786,1219425.89,Signal
OBS000050,2015-01-03 01:00:00,VLT,705.193,1409743236.36,12.276,0.6354,559834.31,Signal
OBS000051,2015-01-03 02:00:00,VLT,772.117,1375171952.44,18.073,0.9047,1563333.81,Noise
OBS000052,2015-01-03 03:00:00,HST,376.314,1370250576.13,10.27,1.3663,1631474.99,Noise
OBS000053,2015-01-03 04:00:00,JWST,508.45,1404783173.69,8.549,0.6888,1264588.9,Signal
OBS000054,2015-01-03 05:00:00,Keck,358.856,1410463988.95,19.09,0.9601,1623182.35,Signal
OBS000055,2015-01-03 06:00:00,Keck,406.687,1418067541.97,12.228,0.8073,1003668.54,Noise
OBS000056,2015-01-03 07:00:00,HST,424.39,1409942724.81,17.456,0.8072,2117087.34,Noise
OBS000057,2015-01-03 08:00:00,Keck,373.141,1410631719.71,8.574,0.7504,1373082.62,Noise
OBS000058,2015-01-03 09:00:00,HST,373.774,1380306948.3,19.033,0.5428,549724.22,Noise
OBS000059,2015-01-03 10:00:00,VLT,482.686,1397900466.31,13.368,0.9005,1034803.35,Noise
OBS000060,2015-01-03 11:00:00,VLT,353.994,1369857664.29,14.174,0.7134,923748.99,Signal
OBS000061,2015-01-03 12:00:00,Chandra,601.055,1359932617.41,12.658,0.5286,874787.97,Signal
OBS000062,2015-01-03 13:00:00,VLT,389.87,1414812854.2,9.473,1.1043,171430.39,Noise
OBS000063,2015-01-03 14:00:00,JWST,837.148,1384937512.12,11.992,0.8297,1193432.27,Noise
OBS000064,2015-01-03 15:00:00,Chandra,445.834,1417449970.04,9.787,0.7316,307123.51,Signal
OBS000065,2015-01-03 16:00:00,Keck,508.642,1422166951.56,16.798,1.202,262703.64,Signal
OBS000066,2015-01-03 17:00:00,JWST,344.559,1387613653.51,10.985,0.2492,827993.18,Signal
OBS000067,2015-01-03 18:00:00,Chandra,704.731,1411806221.89,4.517,1.1818,622053.17,Noise
OBS000068,2015-01-03 19:00:00,JWST,634.34,1386776865.43,3.603,0.5359,569231.49,Noise
OBS000069,2015-01-03 20:00:00,HST,535.63,1363082422.51,3.366,0.8635,551547.98,Noise
